Version: 1
IsBigEndian: True
SupportPaths: False
HasReferenceNodes: False
root:
  LayerInfos:
    - Infos:
        ObjInfo:
          - comment: !l -1
            dir_x: 0.00000
            dir_y: 270.00000
            dir_z: 0.00000
            id_name: obj0
            layer: LC
            link_info: []
            link_num: !l 0
            name: Fzr_GoalLine
            param0: 9.00000
            param1: 2.00000
            param10: -1.00000
            param11: -1.00000
            param2: -1.00000
            param3: -1.00000
            param4: -1.00000
            param5: -1.00000
            param6: -1.00000
            param7: -1.00000
            param8: -1.00000
            param9: -1.00000
            pos_x: 3600.00000
            pos_y: 0.00000
            pos_z: 0.00000
            scale_x: 200.00000
            scale_y: 1.00000
            scale_z: 1.00000
          - comment: !l -1
            dir_x: 0.00000
            dir_y: 90.00000
            dir_z: 0.00000
            id_name: obj5
            layer: LC
            link_info: []
            link_num: !l 0
            name: Fzr_EnemyCarLine
            param0: -1.00000
            param1: 1.00000
            param10: -1.00000
            param11: -1.00000
            param2: -1.00000
            param3: -1.00000
            param4: -1.00000
            param5: -1.00000
            param6: -1.00000
            param7: -1.00000
            param8: -1.00000
            param9: -1.00000
            pos_x: -4800.15000
            pos_y: -0.00001
            pos_z: 0.00000
            scale_x: 300.00000
            scale_y: 1.00000
            scale_z: 1.00000
          - comment: !l -1
            dir_x: 0.00000
            dir_y: 90.00000
            dir_z: 0.00000
            id_name: obj6
            layer: LC
            link_info: []
            link_num: !l 0
            name: Fzr_FieldParts01
            param0: -1.00000
            param1: 1.00000
            param10: -1.00000
            param11: -1.00000
            param2: -1.00000
            param3: -1.00000
            param4: -1.00000
            param5: -1.00000
            param6: -1.00000
            param7: -1.00000
            param8: -1.00000
            param9: -1.00000
            pos_x: -5500.00000
            pos_y: 0.00000
            pos_z: 0.00000
            scale_x: 1.00000
            scale_y: 1.00000
            scale_z: 1.00000
          - comment: !l -1
            dir_x: 0.00000
            dir_y: 90.00000
            dir_z: 0.00000
            id_name: obj7
            layer: LC
            link_info: []
            link_num: !l 0
            name: Fzr_FieldParts01
            param0: -1.00000
            param1: 1.00000
            param10: -1.00000
            param11: -1.00000
            param2: -1.00000
            param3: -1.00000
            param4: -1.00000
            param5: -1.00000
            param6: -1.00000
            param7: -1.00000
            param8: -1.00000
            param9: -1.00000
            pos_x: -4800.00000
            pos_y: 0.00000
            pos_z: 0.00000
            scale_x: 1.00000
            scale_y: 1.00000
            scale_z: 1.00000
          - comment: !l -1
            dir_x: 0.00000
            dir_y: 90.00000
            dir_z: 0.00000
            id_name: obj8
            layer: LC
            link_info: []
            link_num: !l 0
            name: Fzr_FieldParts02
            param0: -1.00000
            param1: -1.00000
            param10: -1.00000
            param11: -1.00000
            param2: -1.00000
            param3: -1.00000
            param4: -1.00000
            param5: -1.00000
            param6: -1.00000
            param7: -1.00000
            param8: -1.00000
            param9: -1.00000
            pos_x: -4100.00000
            pos_y: 0.00000
            pos_z: 0.00000
            scale_x: 1.00000
            scale_y: 1.00000
            scale_z: 1.00000
          - comment: !l -1
            dir_x: 0.00000
            dir_y: 90.00000
            dir_z: 0.00000
            id_name: obj9
